Nation,Position,Competition,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals,Assists,Non-Penalty Goals,Penalty Goals,Penalty Attempts,Yellow Cards,Red Cards,Shots,Shots on Target,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Shot Distance,Goals90,Assists90,G+A90,G-PK90,G+A-PK90,xG,npxG,xA,npxG+xA,xG90,xA90,xG+xA90,npxG90,npxG+xA90
Spain,Goalkeeper,La Liga,20,2000,4,4,360,4,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Midfielder,Ligue 1,19,2002,27,21,1868,20.8,0,0,0,0,0,6,0,16,1,6.3,0.77,0.05,0,0,10.8,0,0,0,0,0,1.2,1.1,0.4,1.5,0.06,0.02,0.08,0.05,0.07
Columbia,Midfielder/Forward,Serie A,22,1998,23,12,1237,13.7,3,1,3,0,0,2,1,22,11,50,1.6,0.8,0.14,0.27,16.6,0.22,0.07,0.29,0.22,0.29,2.5,2.5,0.8,3.3,0.18,0.06,0.24,0.18,0.24
Morocco,Defender,Ligue 1,25,1996,31,31,2735,30.4,2,2,2,0,0,3,1,25,7,28,0.82,0.23,0.08,0.29,8.6,0.07,0.07,0.13,0.07,0.13,1.9,1.9,0.4,2.3,0.06,0.01,0.07,0.06,0.07
Argentina,Forward,La Liga,33,1988,4,2,151,1.7,1,0,1,0,0,0,0,6,1,16.7,3.58,0.6,0.17,1,12.1,0.6,0,0.6,0.6,0.6,1.1,1.1,0.3,1.3,0.64,0.16,0.8,0.64,0.8
France,Defender,Ligue 1,28,1993,28,22,2140,23.8,0,2,0,0,0,4,0,10,2,20,0.42,0.08,0,0,22.2,0,0.08,0.08,0,0.08,0.3,0.3,0.8,1.1,0.01,0.03,0.05,0.01,0.05
Spain,Forward,La Liga,21,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Midfielder,Bundesliga,19,2002,3,0,61,0.7,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,Defender,Ligue 1,22,1999,15,15,1350,15,0,1,0,0,0,6,0,7,4,57.1,0.47,0.27,0,0,14.8,0,0.07,0.07,0,0.07,0.4,0.4,0.7,1.1,0.03,0.04,0.07,0.03,0.07
Ivory Coast,Midfielder,Ligue 1,27,1994,25,11,1004,11.2,1,1,1,0,0,2,0,17,2,11.8,1.52,0.18,0.06,0.5,20.2,0.09,0.09,0.18,0.09,0.18,1.6,1.6,1.1,2.7,0.14,0.1,0.24,0.14,0.24
Ghana,Defender,La Liga,25,1995,32,30,2637,29.3,0,0,0,0,0,1,0,6,1,16.7,0.2,0.03,0,0,12.8,0,0,0,0,0,0.4,0.4,0.1,0.5,0.01,0,0.02,0.01,0.02
Nigeria,Defender,Serie A,24,1996,21,17,1437,16,0,0,0,0,0,4,0,10,4,40,0.63,0.25,0,0,22.1,0,0,0,0,0,0.3,0.3,1.4,1.7,0.02,0.09,0.11,0.02,0.11
France,Defender,Premier League,20,2001,23,20,1828,20.3,1,2,1,0,0,4,0,13,4,30.8,0.64,0.2,0.08,0.25,16.9,0.05,0.1,0.15,0.05,0.15,0.7,0.7,1.3,2.1,0.04,0.07,0.1,0.04,0.1
Norway,Defender,Premier League,23,1998,24,23,1995,22.2,1,3,1,0,0,5,0,7,1,14.3,0.32,0.05,0.14,1,9.1,0.05,0.14,0.18,0.05,0.18,0.8,0.8,1.4,2.2,0.04,0.06,0.1,0.04,0.1
Reunion,Forward,Ligue 1,27,1994,36,31,2738,30.4,12,8,9,3,3,5,1,59,25,42.4,1.94,0.82,0.15,0.36,13.1,0.39,0.26,0.66,0.3,0.56,11,8.7,5.5,14.2,0.36,0.18,0.54,0.29,0.47
Switzerland,Defender,Bundesliga,26,1995,26,25,2261,25.1,1,0,1,0,0,3,0,14,3,21.4,0.56,0.12,0.07,0.33,10.4,0.04,0,0.04,0.04,0.04,1.8,1.8,0.1,2,0.07,0,0.08,0.07,0.08
Equatorial Guinea,Defender,La Liga,28,1993,25,21,1844,20.5,0,0,0,0,0,4,0,10,1,10,0.49,0.05,0,0,19.3,0,0,0,0,0,0.4,0.4,0.5,0.9,0.02,0.02,0.04,0.02,0.04
France,Midfielder/Forward,Serie A,20,2001,4,0,77,0.9,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,Defender,Premier League,26,1995,14,10,923,10.3,2,0,2,0,0,0,0,5,2,40,0.49,0.2,0.4,1,5.8,0.2,0,0.2,0.2,0.2,1.1,1.1,0.5,1.6,0.11,0.05,0.16,0.11,0.16
Spain,Forward,La Liga,17,2004,2,2,124,1.4,0,0,0,0,0,0,0,4,2,50,2.9,1.45,0,0,21.4,0,0,0,0,0,0.1,0.1,0.4,0.5,0.08,0.27,0.34,0.08,0.34
France,Midfielder/Forward,Ligue 1,19,2002,7,0,54,0.6,0,0,0,0,0,1,0,2,1,50,3.33,1.67,0,0,13.5,0,0,0,0,0,0.2,0.2,0.1,0.2,0.29,0.09,0.38,0.29,0.38
Ivory Coast,Midfielder,La Liga,23,1997,8,6,516,5.7,0,0,0,0,0,2,1,2,0,0,0.35,0,0,,21,0,0,0,0,0,0,0,0.1,0.1,0.01,0.01,0.02,0.01,0.02
Ivory Coast,Midfielder,Serie A,28,1992,10,4,315,3.5,0,0,0,0,0,1,0,3,0,0,0.86,0,0,,18.4,0,0,0,0,0,0.4,0.4,0,0.5,0.12,0.01,0.13,0.12,0.13
Nigeria,Defender,Bundesliga,26,1995,26,19,1527,17,2,2,2,0,0,5,0,12,4,33.3,0.71,0.24,0.17,0.5,12.7,0.12,0.12,0.24,0.12,0.24,1.2,1.2,2.1,3.3,0.07,0.12,0.19,0.07,0.19
Austria,Defender,La Liga,29,1992,30,30,2642,29.4,2,3,2,0,0,2,0,21,6,28.6,0.72,0.2,0.1,0.33,22,0.07,0.1,0.17,0.07,0.17,1.6,1.6,2.4,3.9,0.05,0.08,0.13,0.05,0.13
Morocco,Defender/Midfielder,Ligue 1,23,1998,4,0,158,1.8,0,0,0,0,0,1,0,1,0,0,0.57,0,0,,26,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
Chile,Midfielder,La Liga,22,1999,23,16,1425,15.8,0,1,0,0,0,5,0,15,2,13.3,0.95,0.13,0,0,24.6,0,0.06,0.06,0,0.06,1,1,1.1,2.1,0.06,0.07,0.14,0.06,0.14
Argentina,Forward,Bundesliga,28,1992,27,5,655,7.3,6,0,6,0,1,2,0,23,13,56.5,3.16,1.79,0.26,0.46,11.2,0.82,0,0.82,0.82,0.82,6.5,5.8,1.1,6.9,0.9,0.16,1.05,0.79,0.95
Spain,Defender,La Liga,32,1989,30,30,2644,29.4,2,10,2,0,0,11,0,31,6,19.4,1.06,0.2,0.06,0.33,23.5,0.07,0.34,0.41,0.07,0.41,1.3,1.3,5.9,7.1,0.04,0.2,0.24,0.04,0.24
French Guiana,Defender,Ligue 1,29,1992,2,0,22,0.2,0,0,0,0,0,0,0,1,0,0,4.09,0,0,,18.6,0,0,0,0,0,0,0,0,0,0.19,0,0.19,0.19,0.19
Spain,Midfielder,Serie A,28,1992,34,27,2353,26.1,5,9,5,0,0,5,0,47,16,34,1.8,0.61,0.11,0.31,19.8,0.19,0.34,0.54,0.19,0.54,3.5,3.5,7.8,11.3,0.14,0.3,0.43,0.14,0.43
Spain,Defender,La Liga,35,1985,28,28,2465,27.4,0,0,0,0,0,8,0,6,1,16.7,0.22,0.04,0,0,8.1,0,0,0,0,0,0.6,0.6,0.1,0.7,0.02,0,0.02,0.02,0.02
United Kingdom,Defender/Forward,Premier League,31,1989,17,11,1132,12.6,1,2,1,0,0,3,0,4,1,25,0.32,0.08,0.25,1,16.7,0.08,0.16,0.24,0.08,0.24,0.5,0.5,1.7,2.2,0.04,0.13,0.18,0.04,0.18
Spain,Forward,La Liga,27,1993,18,10,787,8.7,1,3,1,0,0,1,0,19,8,42.1,2.17,0.91,0.05,0.13,13,0.11,0.34,0.46,0.11,0.46,3.7,3.7,1.7,5.5,0.43,0.2,0.63,0.43,0.63
Spain,Midfielder,Premier League,30,1991,25,17,1534,17,1,4,1,0,0,2,0,25,6,24,1.47,0.35,0.04,0.17,18.2,0.06,0.23,0.29,0.06,0.29,1.8,1.8,2.3,4.2,0.11,0.14,0.25,0.11,0.25
Spain,Midfielder,La Liga,30,1991,14,12,1105,12.3,2,0,2,0,0,7,0,23,6,26.1,1.87,0.49,0.09,0.33,22.7,0.16,0,0.16,0.16,0.16,1.3,1.3,1.1,2.4,0.1,0.09,0.19,0.1,0.19
Paraguay,Defender,La Liga,24,1996,29,28,2403,26.7,2,0,2,0,0,15,0,17,5,29.4,0.64,0.19,0.12,0.4,16.3,0.07,0,0.07,0.07,0.07,0.9,0.9,0.3,1.2,0.04,0.01,0.05,0.04,0.05
Spain,Midfielder/Forward,La Liga,26,1995,20,11,1065,11.8,2,2,2,0,0,7,0,12,4,33.3,1.01,0.34,0.17,0.5,21.2,0.17,0.17,0.34,0.17,0.34,1,1,2.3,3.3,0.08,0.2,0.28,0.08,0.28
Turkey,Goalkeeper,Ligue 1,18,2002,12,12,1080,12,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Midfielder,La Liga,23,1998,33,30,2320,25.8,1,2,1,0,0,6,1,47,14,29.8,1.82,0.54,0.02,0.07,23.2,0.04,0.08,0.12,0.04,0.12,2,2,1.6,3.6,0.08,0.06,0.14,0.08,0.14
United Kingdom,Defender,Premier League,22,1998,32,32,2853,31.7,2,12,2,0,0,2,0,51,14,27.5,1.61,0.44,0.04,0.14,23,0.06,0.38,0.44,0.06,0.44,2.7,2.7,11.2,13.9,0.08,0.35,0.44,0.08,0.44
Romania,Defender,La Liga,21,2000,1,0,15,0.2,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Forward,Ligue 1,17,2004,32,21,1837,20.4,4,1,4,0,0,6,2,42,15,35.7,2.06,0.73,0.1,0.27,15.5,0.2,0.05,0.24,0.2,0.24,7,7,2.5,9.5,0.34,0.12,0.47,0.34,0.47
Brazil,Goalkeeper,Premier League,28,1992,36,36,3240,36,0,1,0,0,0,0,0,0,0,,0,0,,,,0,0.03,0.03,0,0.03,0,0,0.4,0.4,0,0.01,0.01,0,0.01
