Nation,Position,Competition,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals,Assists,Non-Penalty Goals,Penalty Goals,Penalty Attempts,Yellow Cards,Red Cards,Shots,Shots on Target,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Shot Distance,Goals90,Assists90,G+A90,G-PK90,G+A-PK90,xG,npxG,xA,npxG+xA,xG90,xA90,xG+xA90,npxG90,npxG+xA90
France,Defender/Midfielder,Ligue 1,33,1988,33,23,2044,22.7,2,3,2,0,0,8,0,0,0,,0,0,,,,0.09,0.13,0.22,0.09,0.22,1.5,1.5,3.6,5.1,0.06,0.16,0.22,0.06,0.22
Austria,Defender,Bundesliga,25,1996,32,32,2870,31.9,5,0,5,0,0,2,0,3,1,33.3,3.75,1.25,0,0,13.2,0.16,0,0.16,0.16,0.16,2.6,2.6,0.1,2.7,0.08,0,0.09,0.08,0.09
Netherlands,Defender,Serie A,21,1999,31,29,2674,29.7,3,1,3,0,0,4,1,24,3,12.5,1.06,0.13,0.08,0.67,21.2,0.1,0.03,0.13,0.1,0.13,1.6,1.6,0.5,2.1,0.05,0.02,0.07,0.05,0.07
France,Midfielder/Forward,Ligue 1,19,2002,13,2,238,2.6,1,3,1,0,0,1,0,19,7,36.8,0.6,0.22,0.26,0.71,8.4,0.38,1.13,1.51,0.38,1.51,0.9,0.9,1.9,2.8,0.36,0.71,1.07,0.36,1.07
Brazil,Midfielder,Serie A,21,1999,4,0,65,0.7,0,0,0,0,0,1,0,20,10,50,0.67,0.34,0.15,0.3,12.7,0,0,0,0,0,0.1,0.1,0,0.1,0.07,0,0.07,0.07,0.07
Sweden,Goalkeeper,Bundesliga,28,1993,12,12,1080,12,0,0,0,0,0,0,0,3,2,66.7,1.13,0.76,0.33,0.5,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,Defender,Premier League,27,1994,28,26,2355,26.2,0,2,0,0,0,4,0,1,0,0,1.38,0,0,,6.3,0,0.08,0.08,0,0.08,0.3,0.3,0.5,0.8,0.01,0.02,0.03,0.01,0.03
Denmark,Midfielder/Forward,Bundesliga,21,2000,29,26,1976,22,5,4,5,0,0,0,0,0,0,,0,0,,,,0.23,0.18,0.41,0.23,0.41,6.8,6.8,5.4,12.2,0.31,0.25,0.56,0.31,0.56
Poland,Midfielder/Forward,Serie A,26,1995,16,11,896,10,0,0,0,0,0,2,0,4,2,50,0.15,0.08,0,0,6.9,0,0,0,0,0,0.9,0.9,1.4,2.3,0.09,0.14,0.23,0.09,0.23
United Kingdom,Midfielder/Forward,Premier League,28,1992,16,2,367,4.1,2,0,2,0,0,1,0,55,18,32.7,2.51,0.82,0.09,0.28,17.2,0.49,0,0.49,0.49,0.49,0.7,0.7,0.4,1.1,0.17,0.1,0.26,0.17,0.26
Spain,Defender/Midfielder,Ligue 1,23,1997,34,19,1770,19.7,1,2,1,0,0,1,0,13,2,15.4,1.31,0.2,0,0,18.4,0.05,0.1,0.15,0.05,0.15,1.5,1.5,2.8,4.3,0.07,0.14,0.22,0.07,0.22
United Kingdom,Defender,Premier League,18,2002,28,25,2202,24.5,1,1,1,0,0,2,0,8,6,75,1.96,1.47,0.25,0.33,17.7,0.04,0.04,0.08,0.04,0.08,1.2,1.2,2.3,3.4,0.05,0.09,0.14,0.05,0.14
Austria,Midfielder/Forward,Bundesliga,23,1997,30,22,1969,21.9,3,1,3,0,0,4,0,13,2,15.4,0.66,0.1,0.08,0.5,20.1,0.14,0.05,0.18,0.14,0.18,2.3,2.3,3.5,5.8,0.11,0.16,0.27,0.11,0.27
Spain,Midfielder/Forward,La Liga,19,2002,5,1,132,1.5,0,0,0,0,0,0,0,12,3,25,0.49,0.12,0.08,0.33,15.7,0,0,0,0,0,0.1,0.1,0.1,0.2,0.1,0.05,0.15,0.1,0.15
Spain,Defender,Premier League,27,1993,28,28,2340,26,3,0,3,0,0,7,0,29,7,24.1,1.33,0.32,0.1,0.43,19.4,0.12,0,0.12,0.12,0.12,1.4,1.4,0.1,1.4,0.05,0,0.05,0.05,0.05
Spain,Defender/Midfielder,La Liga,26,1995,29,29,2447,27.2,0,2,0,0,0,5,0,5,2,40,3.41,1.36,0,0,24.5,0,0.07,0.07,0,0.07,0.8,0.8,2.8,3.6,0.03,0.1,0.13,0.03,0.13
France,Goalkeeper,Premier League,34,1986,38,38,3420,38,0,0,0,0,0,2,0,10,3,30,0.38,0.12,0.3,1,8.9,0,0,0,0,0,0,0,0.5,0.5,0,0.01,0.01,0,0.01
Argentina,Midfielder/Forward,Premier League,25,1996,9,2,238,2.6,0,0,0,0,0,0,0,16,2,12.5,0.59,0.07,0,0,20.6,0,0,0,0,0,0.7,0.7,0.6,1.4,0.28,0.24,0.52,0.28,0.52
Argentina,Midfielder/Forward,La Liga,25,1996,16,11,994,11,1,1,1,0,0,3,0,0,0,,0,0,,,,0.09,0.09,0.18,0.09,0.18,1.3,1.3,2.2,3.5,0.12,0.2,0.31,0.12,0.31
Spain,Midfielder/Forward,La Liga,20,2000,13,2,284,3.2,2,0,2,0,0,0,0,9,0,0,3.4,0,0,,18.5,0.63,0,0.63,0.63,0.63,1.5,1.5,0,1.5,0.48,0,0.49,0.48,0.49
Slovakia,Midfielder,Serie A,26,1994,23,19,1686,18.7,1,0,1,0,0,2,0,19,6,31.6,1.72,0.54,0.05,0.17,17.2,0.05,0,0.05,0.05,0.05,0.1,0.1,0.6,0.7,0,0.03,0.04,0,0.04
Netherlands,Forward,Premier League,27,1993,1,0,23,0.3,0,0,0,0,0,0,0,10,2,20,3.17,0.63,0.2,1,13.9,0,0,0,0,0,0.1,0.1,0,0.1,0.45,0,0.45,0.45,0.45
Netherlands,Midfielder/Forward,Bundesliga,27,1993,11,4,444,4.9,2,1,1,1,1,0,0,2,1,50,0.11,0.05,0.5,1,24.1,0.41,0.2,0.61,0.2,0.41,2,1.2,0.6,1.8,0.4,0.11,0.51,0.25,0.36
Italy,Midfielder,Serie A,23,1998,31,23,2160,24,3,3,3,0,0,6,0,1,0,0,3.91,0,0,,20,0.12,0.12,0.25,0.12,0.25,2.1,2.1,1.8,3.9,0.09,0.08,0.16,0.09,0.16
France,Defender/Midfielder,Ligue 1,19,2002,24,11,1011,11.2,1,1,1,0,0,4,0,17,7,41.2,3.45,1.42,0.06,0.14,19.1,0.09,0.09,0.18,0.09,0.18,0.2,0.2,0.4,0.6,0.02,0.03,0.05,0.02,0.05
Brazil,Defender,La Liga,23,1998,29,13,1181,13.1,2,2,2,0,0,4,0,21,3,14.3,0.87,0.12,0.14,1,18.1,0.15,0.15,0.3,0.15,0.3,0.7,0.7,1.9,2.6,0.05,0.15,0.2,0.05,0.2
United Kingdom,Defender/Midfielder,Premier League,25,1996,24,13,1394,15.5,0,2,0,0,0,1,0,7,2,28.6,0.62,0.18,0.14,0.5,24.9,0,0.13,0.13,0,0.13,1.2,1.2,1.9,3.1,0.08,0.12,0.2,0.08,0.2
Ireland,Defender,Premier League,30,1990,6,4,410,4.6,0,0,0,0,0,1,0,10,4,40,0.76,0.3,0.2,0.5,17,0,0,0,0,0,0.2,0.2,0,0.2,0.03,0,0.03,0.03,0.03
Ireland,Forward,Premier League,34,1987,13,3,308,3.4,1,0,1,0,0,1,0,19,6,31.6,1.23,0.39,0,0,17.4,0.29,0,0.29,0.29,0.29,1,1,0.1,1.1,0.29,0.03,0.32,0.29,0.32
United Kingdom,Midfielder,Premier League,23,1997,24,15,1464,16.3,1,1,1,0,0,1,0,4,0,0,0.88,0,0,,11.6,0.06,0.06,0.12,0.06,0.12,1.2,1.2,0.7,1.9,0.07,0.04,0.12,0.07,0.12
Nigeria,Midfielder/Forward,Premier League,23,1997,26,16,1453,16.1,6,0,6,0,0,2,0,9,5,55.6,2.63,1.46,0.11,0.2,10.7,0.37,0,0.37,0.37,0.37,5.1,5.1,1.9,6.9,0.31,0.12,0.43,0.31,0.43
Portugal,Goalkeeper,Ligue 1,30,1990,34,34,2982,33.1,0,0,0,0,0,1,1,15,2,13.3,0.92,0.12,0.07,0.5,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Defender/Midfielder,La Liga,31,1989,18,8,743,8.3,0,0,0,0,0,1,0,27,12,44.4,1.67,0.74,0.22,0.5,13.9,0,0,0,0,0,0.5,0.5,0.4,0.9,0.06,0.05,0.11,0.06,0.11
Spain,Goalkeeper,La Liga,39,1981,36,36,3177,35.3,0,0,0,0,0,4,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Defender,La Liga,19,2002,9,4,462,5.1,0,0,0,0,0,2,0,5,4,80,0.61,0.48,0,0,12.2,0,0,0,0,0,0,0,0.3,0.3,0,0.05,0.05,0,0.05
France,Midfielder,Serie A,23,1997,35,33,2938,32.6,2,1,2,0,0,14,0,0,0,,0,0,,,,0.06,0.03,0.09,0.06,0.09,1.3,1.3,2.9,4.2,0.04,0.09,0.13,0.04,0.13
Spain,Goalkeeper,Ligue 1,26,1994,29,29,2610,29,0,1,0,0,0,4,0,0,0,,0,0,,,,0,0.03,0.03,0,0.03,0,0,0.8,0.8,0,0.03,0.03,0,0.03
Spain,Midfielder,La Liga,25,1995,27,13,1160,12.9,0,0,0,0,0,5,0,16,6,37.5,0.49,0.18,0.13,0.33,21.6,0,0,0,0,0,1.2,1.2,1.7,2.9,0.09,0.13,0.22,0.09,0.22
Senegal,Midfielder,Ligue 1,19,2002,26,19,1642,18.2,0,0,0,0,0,4,0,0,0,,0,0,,,,0,0,0,0,0,1,1,0.2,1.2,0.05,0.01,0.07,0.05,0.07
France,Defender,Ligue 1,21,2000,3,3,269,3,0,0,0,0,0,0,0,19,7,36.8,1.47,0.54,0,0,23.4,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04
France,Midfielder,Bundesliga,35,1986,33,33,2935,32.6,2,0,2,0,0,5,0,16,2,12.5,0.88,0.11,0,0,22.4,0.06,0,0.06,0.06,0.06,1.6,1.6,0.7,2.3,0.05,0.02,0.07,0.05,0.07
Denmark,Goalkeeper,Premier League,32,1989,2,2,180,2,0,0,0,0,0,0,0,1,0,0,0.33,0,0,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,Goalkeeper,Bundesliga,20,2001,10,9,885,9.8,0,0,0,0,0,1,0,33,9,27.3,1.01,0.28,0.06,0.22,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,Defender,Ligue 1,22,1998,30,19,1782,19.8,0,0,0,0,0,4,0,0,0,,0,0,,,,0,0,0,0,0,0.7,0.7,1.1,1.8,0.04,0.05,0.09,0.04,0.09
France,Defender,Ligue 1,17,2004,1,0,12,0.1,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,Midfielder,Premier League,22,1999,20,17,1416,15.7,0,0,0,0,0,6,0,9,2,22.2,0.45,0.1,0,0,18.2,0,0,0,0,0,1.1,1.1,1,2.1,0.07,0.07,0.14,0.07,0.14
Italy,Defender/Midfielder,Serie A,21,2000,6,3,305,3.4,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0.1,0.2,0.01,0.03,0.05,0.01,0.05
Italy,Defender,Serie A,21,2000,16,14,1238,13.8,0,0,0,0,0,4,0,17,4,23.5,1.08,0.25,0,0,27.1,0,0,0,0,0,0.4,0.4,0.1,0.5,0.03,0.01,0.04,0.03,0.04
Germany,Midfielder,Bundesliga,24,1997,26,15,1416,15.7,2,2,1,1,1,0,0,1,0,0,0.3,0,0,,5.8,0.13,0.13,0.25,0.06,0.19,2.8,2.1,3.9,5.9,0.18,0.24,0.42,0.13,0.38
United Kingdom,Defender,Premier League,32,1989,25,20,1772,19.7,1,2,1,0,0,3,1,5,1,20,0.36,0.07,0,0,14.3,0.05,0.1,0.15,0.05,0.15,0.6,0.6,1.3,1.9,0.03,0.07,0.1,0.03,0.1
Honduras,Midfielder/Forward,La Liga,28,1993,31,21,1672,18.6,7,2,7,0,0,8,0,37,13,35.1,2.35,0.83,0.03,0.08,24,0.38,0.11,0.48,0.38,0.48,5.2,5.2,1,6.2,0.28,0.06,0.34,0.28,0.34
Mexico,Forward,Serie A,26,1995,30,20,1613,17.9,5,5,5,0,0,3,0,10,2,20,0.51,0.1,0.1,0.5,20.5,0.28,0.28,0.56,0.28,0.56,6.1,5.9,2.7,8.6,0.34,0.15,0.49,0.33,0.48
Brazil,Midfielder,Ligue 1,23,1998,28,18,1445,16.1,1,1,1,0,0,3,1,49,20,40.8,2.64,1.08,0.14,0.35,14.3,0.06,0.06,0.12,0.06,0.12,2.4,2.4,1.6,4,0.15,0.1,0.25,0.15,0.25
Angola,Defender,Bundesliga,24,1997,13,9,743,8.3,1,0,1,0,0,2,0,51,19,37.3,2.85,1.06,0.1,0.26,16.6,0.12,0,0.12,0.12,0.12,0.7,0.7,0.2,1,0.09,0.03,0.12,0.09,0.12
Spain,Defender,La Liga,26,1995,24,22,1871,20.8,2,4,2,0,0,8,2,26,9,34.6,1.62,0.56,0.04,0.11,20,0.1,0.19,0.29,0.1,0.29,1,1,2.2,3.1,0.05,0.1,0.15,0.05,0.15
Spain,Midfielder/Forward,La Liga,34,1987,35,31,2719,30.2,13,7,10,3,5,7,0,8,4,50,0.97,0.48,0.13,0.25,17.8,0.43,0.23,0.66,0.33,0.56,14.4,10.6,6.9,17.5,0.48,0.23,0.71,0.35,0.58
Argentina,Defender,Serie A,31,1990,34,30,2672,29.7,1,0,1,0,0,9,0,3,1,33.3,0.27,0.09,0,0,25,0.03,0,0.03,0.03,0.03,1.8,1.8,0.4,2.2,0.06,0.01,0.07,0.06,0.07
Portugal,Midfielder,La Liga,21,1999,22,9,992,11,0,1,0,0,0,2,0,18,9,50,0.87,0.43,0.11,0.22,20.3,0,0.09,0.09,0,0.09,0.1,0.1,0.3,0.3,0.01,0.03,0.03,0.01,0.03
Spain,Forward,La Liga,20,2001,2,0,13,0.1,0,0,0,0,0,0,0,76,32,42.1,2.52,1.06,0.13,0.31,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,Midfielder,Premier League,23,1998,34,31,2715,30.2,2,3,2,0,0,7,0,14,3,21.4,0.47,0.1,0.07,0.33,7.6,0.07,0.1,0.17,0.07,0.17,2,2,2.5,4.5,0.07,0.08,0.15,0.07,0.15
Belgium,Forward,Premier League,28,1993,26,16,1589,17.7,8,0,7,1,1,1,0,0,0,,0,0,,,,0.45,0,0.45,0.4,0.4,6.8,6.1,3,9,0.39,0.17,0.55,0.34,0.51
France,Defender,Ligue 1,18,2002,24,24,2095,23.3,2,0,2,0,0,1,0,23,8,34.8,0.76,0.27,0.09,0.25,23.7,0.09,0,0.09,0.09,0.09,1.7,1.7,0.1,1.8,0.07,0,0.08,0.07,0.08
Belgium,Forward,Bundesliga,23,1997,3,2,176,2,1,0,0,1,1,0,0,42,13,31,2.38,0.74,0.17,0.54,13.1,0.51,0,0.51,0,0,1.1,0.3,0,0.3,0.55,0,0.55,0.16,0.16
Belgium,Midfielder/Forward,Bundesliga,23,1997,19,7,882,9.8,1,2,1,0,0,2,0,6,3,50,0.26,0.13,0.33,0.67,8,0.1,0.2,0.31,0.1,0.31,2.3,2.3,2.2,4.6,0.24,0.23,0.46,0.24,0.46
Serbia,Midfielder,Serie A,24,1996,35,34,2982,33.1,5,4,2,3,3,10,0,3,1,33.3,1.53,0.51,0,0,25.1,0.15,0.12,0.27,0.06,0.18,4.4,2.1,4.5,6.6,0.13,0.14,0.27,0.06,0.2
United Kingdom,Defender/Forward,Ligue 1,22,1998,5,0,67,0.7,0,0,0,0,0,0,0,17,7,41.2,1.73,0.71,0.06,0.14,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Goalkeeper,La Liga,22,1999,2,2,180,2,0,0,0,0,0,0,0,29,7,24.1,0.88,0.21,0.07,0.29,22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,Goalkeeper,Bundesliga,29,1991,1,1,90,1,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Defender,Serie A,24,1996,24,22,1958,21.8,0,1,0,0,0,8,1,0,0,,0,0,,,,0,0.05,0.05,0,0.05,0.9,0.9,0.5,1.4,0.04,0.02,0.06,0.04,0.06
Germany,Goalkeeper,Bundesliga,34,1987,27,27,2430,27,0,0,0,0,0,3,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,Defender,Premier League,24,1997,15,9,911,10.1,0,0,0,0,0,2,0,9,3,33.3,0.41,0.14,0,0,12.7,0,0,0,0,0,0.2,0.2,0.1,0.4,0.02,0.01,0.04,0.02,0.04
Greece,Defender,Serie A,27,1993,28,21,1817,20.2,1,0,1,0,0,2,0,0,0,,0,0,,,,0.05,0,0.05,0.05,0.05,1,1,1,2,0.05,0.05,0.1,0.05,0.1
France,Defender/Forward,Ligue 1,20,2001,2,0,5,0.1,0,0,0,0,0,0,0,6,0,0,0.59,0,0,,15.2,0,0,0,0,0,0.1,0.1,0,0.1,2.16,0,2.16,2.16,2.16
Argentina,Midfielder/Forward,Premier League,22,1998,33,22,2123,23.6,5,2,3,2,3,4,0,21,7,33.3,1.04,0.35,0.05,0.14,21.8,0.21,0.08,0.3,0.13,0.21,6.5,4.2,1.5,5.7,0.28,0.06,0.34,0.18,0.24
Columbia,Defender,Ligue 1,27,1993,22,5,523,5.8,0,1,0,0,0,1,0,2,1,50,36,18,0,0,10,0,0.17,0.17,0,0.17,0,0,0.8,0.9,0.01,0.14,0.15,0.01,0.15
Venezuela,Midfielder/Forward,La Liga,28,1993,25,16,1376,15.3,4,2,4,0,0,2,0,57,9,15.8,2.42,0.38,0.05,0.33,20.4,0.26,0.13,0.39,0.26,0.39,1.7,1.7,2.6,4.4,0.11,0.17,0.29,0.11,0.29
France,Defender,Ligue 1,22,1998,22,19,1529,17,0,0,0,0,0,7,0,2,0,0,0.34,0,0,,23.2,0,0,0,0,0,0.4,0.4,1.6,2.1,0.03,0.1,0.12,0.03,0.12
United Kingdom,Midfielder/Forward,Premier League,24,1996,35,28,2459,27.3,12,8,12,0,0,3,0,38,17,44.7,2.49,1.11,0.11,0.24,21.4,0.44,0.29,0.73,0.44,0.73,8.2,8.2,4.8,13,0.3,0.18,0.48,0.3,0.48
Finland,Goalkeeper,Serie A,36,1985,17,16,1485,16.5,0,1,0,0,0,1,0,15,4,26.7,0.88,0.24,0,0,26.4,0,0.06,0.06,0,0.06,0,0,0.3,0.3,0,0.02,0.02,0,0.02
Spain,Defender,La Liga,24,1997,35,35,2945,32.7,1,4,1,0,0,10,0,73,33,45.2,2.67,1.21,0.16,0.36,19.8,0.03,0.12,0.15,0.03,0.15,1.7,1.7,2.4,4.1,0.05,0.07,0.12,0.05,0.12
Central African Republic,Forward,Ligue 1,27,1994,15,5,525,5.8,2,0,2,0,0,0,0,21,4,19,1.28,0.24,0.05,0.25,18.3,0.34,0,0.34,0.34,0.34,1.8,1.8,0.3,2,0.3,0.05,0.35,0.3,0.35
Italy,Midfielder,Serie A,23,1998,35,33,2819,31.3,2,3,2,0,0,9,0,0,0,,0,0,,,,0.06,0.1,0.16,0.06,0.16,3.3,3.3,2.8,6,0.11,0.09,0.19,0.1,0.19
Croatia,Defender,Bundesliga,22,1998,1,0,6,0.1,0,0,0,0,0,0,0,29,7,24.1,0.89,0.21,0.03,0.14,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Midfielder,Serie A,36,1984,12,2,271,3,0,0,0,0,0,1,0,9,7,77.8,1.54,1.2,0.22,0.29,15.1,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02
Italy,Defender,Serie A,25,1995,14,5,530,5.9,0,0,0,0,0,3,1,42,8,19,1.34,0.26,0.05,0.25,20.9,0,0,0,0,0,0.6,0.6,0,0.6,0.1,0,0.1,0.1,0.1
Italy,Defender,Serie A,25,1995,4,3,239,2.7,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Midfielder,Ligue 1,23,1998,28,16,1463,16.3,0,1,0,0,0,4,0,2,0,0,0.66,0,0,,27.9,0,0.06,0.06,0,0.06,0.6,0.6,0.4,1.1,0.04,0.03,0.06,0.04,0.06
France,Defender/Midfielder,Ligue 1,24,1997,24,19,1717,19.1,1,0,1,0,0,2,0,5,1,20,0.85,0.17,0,0,7.2,0.05,0,0.05,0.05,0.05,1.2,1.2,0.7,1.9,0.06,0.04,0.1,0.06,0.1
United Kingdom,Defender,Premier League,28,1993,30,28,2515,27.9,1,0,1,0,0,9,1,0,0,,0,0,,,,0.04,0,0.04,0.04,0.04,1.7,1.7,0.2,1.9,0.06,0.01,0.07,0.06,0.07
Algeria,Forward,Premier League,30,1991,28,15,1498,16.6,11,5,7,4,5,0,0,18,2,11.1,1.11,0.12,0,0,23.6,0.66,0.3,0.96,0.42,0.72,10.1,6.3,3.7,10,0.61,0.22,0.83,0.38,0.6
Germany,Midfielder,Bundesliga,22,1999,29,21,1864,20.7,1,6,1,0,0,0,0,19,3,15.8,1,0.16,0.05,0.33,14.3,0.05,0.29,0.34,0.05,0.34,1.4,1.4,3.2,4.7,0.07,0.16,0.23,0.07,0.23
Ivory Coast,Midfielder/Forward,Ligue 1,25,1996,17,16,1267,14.1,2,0,2,0,0,6,0,23,10,43.5,0.82,0.36,0.04,0.1,11.9,0.14,0,0.14,0.14,0.14,1.2,1.2,0.6,1.8,0.09,0.04,0.13,0.09,0.13
France,Goalkeeper,Serie A,26,1995,32,32,2880,32,0,1,0,0,0,1,0,56,18,32.1,3.36,1.08,0.13,0.39,17.2,0,0.03,0.03,0,0.03,0,0,0.4,0.4,0,0.01,0.01,0,0.01
United Kingdom,Midfielder,Premier League,23,1997,8,2,268,3,0,0,0,0,0,0,0,17,8,47.1,0.82,0.39,0.06,0.13,20.4,0,0,0,0,0,0,0,0.3,0.4,0.01,0.12,0.13,0.01,0.13
United Kingdom,Defender,Serie A,23,1997,8,7,487,5.4,0,0,0,0,0,0,0,11,5,45.5,0.78,0.36,0.18,0.4,18.8,0,0,0,0,0,0.4,0.4,0.4,0.9,0.08,0.08,0.16,0.08,0.16
Nigeria,Forward,Ligue 1,22,1998,2,0,9,0.1,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0.1,0.1,0,0.99,0.99,0,0.99
Ghana,Midfielder/Forward,Ligue 1,29,1991,15,2,327,3.6,2,0,2,0,0,1,0,3,2,66.7,0.55,0.37,0,0,18.5,0.55,0,0.55,0.55,0.55,1.2,1.2,0.6,1.8,0.32,0.17,0.49,0.32,0.49
Croatia,Midfielder,Ligue 1,23,1998,29,21,1832,20.4,6,8,6,0,0,1,0,2,0,0,0.67,0,0,,26.5,0.29,0.39,0.69,0.29,0.69,4.8,4.8,5.1,9.9,0.24,0.25,0.49,0.24,0.49
France,Midfielder,Serie A,23,1998,33,26,2351,26.1,1,3,1,0,0,7,1,0,0,,0,0,,,,0.04,0.11,0.15,0.04,0.15,2.3,2.3,2,4.3,0.09,0.08,0.17,0.09,0.17
Congo,Midfielder/Forward,Ligue 1,18,2002,23,1,322,3.6,0,0,0,0,0,4,0,7,3,42.9,1.93,0.83,0.29,0.67,16.7,0,0,0,0,0,0.7,0.7,0.4,1.1,0.19,0.11,0.3,0.19,0.3
Serbia,Midfielder,La Liga,26,1995,35,34,2936,32.6,1,2,1,0,0,5,0,45,18,40,2.21,0.88,0.13,0.33,19.3,0.03,0.06,0.09,0.03,0.09,2.5,2.5,0.7,3.2,0.08,0.02,0.1,0.08,0.1
Serbia,Defender,Serie A,29,1991,14,13,1115,12.4,0,0,0,0,0,2,0,32,10,31.3,1.23,0.38,0.03,0.1,20.1,0,0,0,0,0,0.2,0.2,0.1,0.2,0.01,0.01,0.02,0.01,0.02
Morocco,Defender,Serie A,30,1991,8,2,288,3.2,0,1,0,0,0,3,0,7,0,0,1.96,0,0,,13.5,0,0.31,0.31,0,0.31,0.1,0.1,0.4,0.5,0.02,0.13,0.15,0.02,0.15
Italy,Midfielder,Serie A,19,2001,8,2,148,1.6,1,0,1,0,0,1,0,30,5,16.7,0.92,0.15,0.03,0.2,15.1,0.61,0,0.61,0.61,0.61,0.2,0.2,0.1,0.3,0.14,0.04,0.18,0.14,0.18
Italy,Midfielder,Serie A,22,1998,28,11,1019,11.3,2,2,2,0,0,5,0,3,0,0,0.24,0,0,,8.4,0.18,0.18,0.35,0.18,0.35,2.3,2.3,1,3.4,0.21,0.09,0.3,0.21,0.3
Netherlands,Forward,Bundesliga,22,1999,27,20,1684,18.7,5,3,5,0,0,2,0,1,0,0,0.31,0,0,,15.6,0.27,0.16,0.43,0.27,0.43,4.2,4.2,3.6,7.8,0.23,0.19,0.42,0.23,0.42
Ukraine,Midfielder/Forward,Serie A,28,1993,30,19,1592,17.7,6,5,6,0,0,10,0,3,1,33.3,1.82,0.61,0.33,1,13.2,0.34,0.28,0.62,0.34,0.62,3.7,3.7,6.2,9.9,0.21,0.35,0.56,0.21,0.56
Spain,Defender,La Liga,30,1991,21,21,1826,20.3,1,1,1,0,0,5,2,21,5,23.8,1.85,0.44,0.1,0.4,17.6,0.05,0.05,0.1,0.05,0.1,1.4,1.4,1.7,3.1,0.07,0.08,0.16,0.07,0.16
USA,Defender,Bundesliga,21,1999,2,0,9,0.1,0,0,0,0,0,0,0,47,21,44.7,2.51,1.12,0.11,0.24,16.5,0,0,0,0,0,0,0,0.1,0.1,0,0.62,0.62,0,0.62
Martinique,Midfielder,La Liga,25,1995,26,11,1143,12.7,1,2,1,0,0,7,0,58,17,29.3,3.28,0.96,0.1,0.35,21.4,0.08,0.16,0.24,0.08,0.24,1,1,0.9,1.9,0.08,0.07,0.15,0.08,0.15
Georgia,Goalkeeper,La Liga,20,2000,18,18,1620,18,0,0,0,0,0,2,0,18,2,11.1,0.89,0.1,0.06,0.5,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,Forward,Serie A,24,1997,30,19,1768,19.6,5,0,3,2,3,9,0,0,0,,0,0,,,,0.25,0,0.25,0.15,0.15,7.1,4.8,1.4,6.3,0.36,0.07,0.44,0.25,0.32
France,Midfielder,Ligue 1,21,1999,14,9,799,8.9,0,0,0,0,0,3,0,13,2,15.4,1.02,0.16,0.08,0.5,22.7,0,0,0,0,0,0.4,0.4,0,0.4,0.04,0,0.04,0.04,0.04
France,Defender,Ligue 1,32,1989,28,25,2361,26.2,0,0,0,0,0,2,1,0,0,,0,0,,,,0,0,0,0,0,0.1,0.1,0.3,0.4,0,0.01,0.02,0,0.02
Italy,Defender,Serie A,25,1996,33,33,2878,32,0,0,0,0,0,16,1,51,14,27.5,2.6,0.71,0.06,0.21,17.4,0,0,0,0,0,2.3,2.2,0.5,2.7,0.07,0.01,0.09,0.07,0.08
Italy,Forward,Serie A,29,1992,8,5,425,4.7,1,0,1,0,0,0,0,9,0,0,1.01,0,0,,23.5,0.21,0,0.21,0.21,0.21,2.2,2.2,0.4,2.7,0.47,0.09,0.56,0.47,0.56
France,Goalkeeper,Ligue 1,36,1985,9,9,810,9,0,0,0,0,0,0,0,4,0,0,0.15,0,0,,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,Defender,La Liga,27,1994,17,15,1298,14.4,0,0,0,0,0,5,0,24,6,25,0.75,0.19,0,0,9.7,0,0,0,0,0,0.2,0.2,0.1,0.3,0.02,0.01,0.02,0.02,0.02
